School District,City,County,State
Columbia County School District,Evans,Columbia,Georgia
Commerce City Schools,Commerce,Jackson,Georgia
Cook County Schools,Adel,Cook,Georgia
Coweta County School System,Newnan,Coweta,Georgia
Crawford County Schools,Roberta,Crawford,Georgia
Crisp County Schools,Cordele,Crisp,Georgia
Dade County Schools,Trenton,Dade,Georgia
Dalton City School District,Dalton,Whitfield,Georgia
Dawson County School District,Dawsonville,Dawson,Georgia
Decatur County School District,Bainbridge,Decatur,Georgia
DeKalb County School District,Decatur,DeKalb,Georgia
Dodge County Schools,Eastman,Dodge,Georgia
Dooly County School System,Vienna,Dooly,Georgia
Dougherty County School System,Albany,Dougherty,Georgia
Douglas County School System,Douglasville,Douglas,Georgia
Dublin City School District,Dublin,Laurens,Georgia
Early County School System,Blakely,Early,Georgia
Echols County School District,Statenville,Echols,Georgia
Effingham County Schools,Springfield,Effingham,Georgia
Elbert County School District,Elberton,Elbert,Georgia
Emanuel County Schools,Swainsboro,Emanuel,Georgia
Evans County Charter School System,Claxton,Evans,Georgia
Fannin County School System,Blue Ridge,Fannin,Georgia
Fayette County Public Schools,Fayetteville,Fayette,Georgia
Floyd County Schools,Rome,Floyd,Georgia
Forsyth County Schools,Cumming,Forsyth,Georgia
Franklin County Schools,Carnesville,Franklin,Georgia
Fulton County Schools,Atlanta,Fulton,Georgia
Gainesville City School System,Gainesville,Hall,Georgia
Gilmer County Schools,Ellijay,Gilmer,Georgia
Glascock County School District,Gibson,Glascock,Georgia
Glynn County School System,Brunswick,Glynn,Georgia
Gordon County Schools,Calhoun,Gordon,Georgia
Grady County Schools,Cairo,Grady,Georgia
Greene County School System,Greensboro,Greene,Georgia
Griffin-Spalding County School System,Griffin,Spalding,Georgia
Gwinnett County Public Schools,Lawrenceville,Gwinnett,Georgia
Habersham County Schools,Clarkesville,Habersham,Georgia
Hall County Schools,Gainesville,Hall,Georgia
Hancock County Schools,Sparta,Hancock,Georgia
Haralson County School District,Tallapoosa,Haralson,Georgia
Harris County School District,Hamilton,Harris,Georgia
Hart County School District,Hartwell,Hart,Georgia
Heard County School System,Franklin,Heard,Georgia
Henry County Schools,McDonough,Henry,Georgia
Houston County School District,Perry,Houston,Georgia
Irwin County Schools,Ocilla,Irwin,Georgia
Jackson County School System,Jefferson,Jackson,Georgia
Jasper County Charter System,Monticello,Jasper,Georgia
Jeff Davis County Schools,Hazlehurst,Jeff Davis,Georgia
Jefferson City Schools,Jefferson,Jackson,Georgia
Jefferson County Schools,Louisville,Jefferson,Georgia
Jenkins County School System,Millen,Jenkins,Georgia
Johnson County Schools,Wrightsville,Johnson,Georgia
Jones County School System,Gray,Jones,Georgia
Lamar County Schools,Barnesville,Lamar,Georgia
Lanier County Schools,Lakeland,Lanier,Georgia
Laurens County Schools,Dublin,Laurens,Georgia
Lee County School System,Leesburg,Lee,Georgia
Liberty County School System,Hinesville,Liberty,Georgia
Lincoln County Schools,Lincolnton,Lincoln,Georgia
Long County School System,Ludowici,Long,Georgia
Lowndes County Schools,Valdosta,Lowndes,Georgia
Lumpkin County Schools,Dahlonega,Lumpkin,Georgia
Macon County School System,Oglethorpe,Macon,Georgia
Madison County Charter School System,Danielsville,Madison,Georgia
Marietta City Schools,Marietta,Cobb,Georgia
Marion County Schools,Buena Vista,Marion,Georgia
McDuffie County School System,Thomson,McDuffie,Georgia
McIntosh County Schools,Darien,McIntosh,Georgia
Meriwether County School District,Greenville,Meriwether,Georgia
Miller County Schools,Colquitt,Miller,Georgia
Mitchell County School System,Camilla,Mitchell,Georgia
Monroe County School District,Forsyth,Monroe,Georgia
Montgomery County School System,Mount Vernon,Montgomery,Georgia
Morgan County Charter School System,Madison,Morgan,Georgia
Murray County School District,Chatsworth,Murray,Georgia
Muscogee County School District,Columbus,Muscogee,Georgia
Newton County Schools,Covington,Newton,Georgia
Oconee County School District,Watkinsville,Oconee,Georgia
Oglethorpe County School System,Lexington,Oglethorpe,Georgia
Paulding County School District,Dallas,Paulding,Georgia
Peach County Schools,Fort Valley,Peach,Georgia
Pelham City Schools Charter System,Pelham,Mitchell,Georgia
Pickens County School District,Jasper,Pickens,Georgia
Pierce County Schools,Blackshear,Pierce,Georgia
Pike County Schools,Zebulon,Pike,Georgia
Polk County School District,Cedartown,Polk,Georgia
Pulaski County Schools,Hawkinsville,Pulaski,Georgia
Putnam County Charter School System,Eatonton,Putnam,Georgia
Quitman County School District,Georgetown,Quitman,Georgia
Rabun County School District,Clayton,Rabun,Georgia
Randolph County School System,Cuthbert,Randolph,Georgia
Richmond County School System,Augusta,Richmond,Georgia
Rockdale County Public Schools,Conyers,Rockdale,Georgia
Rome City Schools,Rome,Floyd,Georgia
Savannah-Chatham County Public School System,Savannah,Chatham,Georgia
Schley County Schools,Ellaville,Schley,Georgia
Screven County School System,Sylvania,Screven,Georgia
Seminole County Schools,Donalsonville,Seminole,Georgia
Social Circle City School District,Social Circle,Walton,Georgia
Stephens County School System,Toccoa,Stephens,Georgia
Stewart County School District,Lumpkin,Stewart,Georgia
Sumter County Schools,Americus,Sumter,Georgia
Talbot County Schools,Talbotton,Talbot,Georgia
Taliaferro County Schools,Crawfordville,Taliaferro,Georgia
Tattnall County Schools,Reidsville,Tattnall,Georgia
Taylor County Schools,Butler,Taylor,Georgia
Telfair County School District,McRae-Helena,Telfair,Georgia
Terrell County School District,Dawson,Terrell,Georgia
Thomas County Schools,Thomasville,Thomas,Georgia
Thomaston-Upson Schools,Thomaston,Upson,Georgia
Thomasville City Schools,Thomasville,Thomas,Georgia
Tift County School System,Tifton,Tift,Georgia
Toombs County School District,Lyons,Toombs,Georgia
Towns County School District,Hiawassee,Towns,Georgia
Treutlen County School District,Soperton,Treutlen,Georgia
Trion City School District,Trion,Chattooga,Georgia
Troup County School System,LaGrange,Troup,Georgia
Turner County School District,Ashburn,Turner,Georgia
Twiggs County Public Schools,Jeffersonville,Twiggs,Georgia
Union County School District,Blairsville,Union,Georgia
Valdosta City School District,Valdosta,Lowndes,Georgia
Vidalia City School District,Vidalia,Toombs,Georgia
Walker County School District,LaFayette,Walker,Georgia
Walton County School District,Monroe,Walton,Georgia
Ware County Schools,Waycross,Ware,Georgia
Warren County School District,Warrenton,Warren,Georgia
Washington County Public Schools,Sandersville,Washington,Georgia
Wayne County School District,Jesup,Wayne,Georgia
Webster County Public Schools,Preston,Webster,Georgia
Wheeler County School District,Alamo,Wheeler,Georgia
White County School District,Cleveland,White,Georgia
Whitfield County Schools,Dalton,Whitfield,Georgia
Wilcox County School District,Abbeville,Wilcox,Georgia
Wilkes County Schools,Washington,Wilkes,Georgia
Wilkinson County School District,Irwinton,Wilkinson,Georgia
Worth County Public Schools,Sylvester,Worth,Georgia
