School District,City,County,State,,,,,,,,,,"Aberdeen School District, Agar-Blunt-Onida School District, Alcester-Hudson School District, Andes Central School District, Arlington School District, Armour School District, Avon School District, Baltic School District, Belle Fourche School District, Bennett County School District, Beresford School District, Big Stone City School District, Bison School District, Bon Homme School District, Bowdle School District, Brandon Valley School District, Bridgewater-Emery School District, Britton-Hecla School District, Brookings School District, Burke School District, Canistota School District, Canton School District, Castlewood School District, Centerville School District, Chamberlain School District, Chester Area School District, Clark School District, Colman-Egan School District, Colome Consolidated School District, Corsica-Stickney 21-3 School District, Custer School District, Dakota Valley School District, Dell Rapids School District, De Smet School District, Deubrook Area School District, Deuel School District, Doland School District, Douglas School District, Dupree School District, Eagle Butte School District, Edgemont School District, Edmunds Central School District, Elk Mountain School District, Elk Point-Jefferson School District, Elkton School District, Estelline School District, Ethan School District, Eureka School District, Faith School District, Faulkton Area School District, Flandreau School District, Florence School District, Frederick Area School District, Freeman School District, Garretson School District, Gayville-Volin School District, Gettysburg School District, Gregory School District, Groton Area School District, Haakon School District, Hamlin School District, Hanson School District, Harding County School District, Harrisburg School District, Henry School District, Herreid School District, Highmore-Harrold School District, Hill City School District, Hitchcock-Tulare School District, Hot Springs School District, Hoven School District, Howard School District, Huron School District, Ipswich Public School District, Irene-Wakonda School District, Iroquois School District, Jones County School District, Kadoka Area School District, Kimball School District, Lake Preston School District, Langford School District, Lead-Deadwood School District, Lemmon School District, Lennox School District, Leola School District, Lyman School District, Madison Central School District, Marion School District, McCook Central School District, McIntosh School District, McLaughlin School District, Meade School District, Menno School District, Milbank School District, Miller Area School District, Mitchell School District, Mobridge-Pollock School District, Montrose School District, Mount Vernon School District, Newell School District, New Underwood School District, Northwestern Area School District, Oelrichs School District, Oglala Lakota County School District, Oldham-Ramona-Rutland School District 39-6, Parker School District, Parkston School District, Pierre School District, Plankinton School District, Platte-Geddes School District, Rapid City Area School District, Redfield School District, Rosholt School District, Sanborn Central School District, Scotland School District, Selby Area School District, Sioux Falls School District, Sioux Valley School District, Sisseton School District, Smee School District, South Central School District, Spearfish School District, Stanley County School District, Summit School District, Tea Area School District, Timber Lake School District, Todd County School District, Tripp-Delmont School District, Tri-Valley School District, Vermillion School District, Viborg-Hurley School District, Wagner Community School District, Wall School District, Warner School District, Watertown School District, Waubay School District, Waverly School District, Webster School District, Wessington Springs School District, West Central School District, White Lake School District, White River School District, Willow Lake School District, Wilmot School District, Winner School District, Wolsey-Wessington School District, Woonsocket School District, Yankton School District"
Beresford School District,Beresford,Union,South Dakota,,,,,,,,,,
Big Stone City School District,Big Stone City,Grant,South Dakota,,,,,,,,,,
Bison School District,Bison,Perkins,South Dakota,,,,,,,,,,
Bon Homme School District,Tyndall,Bon Homme,South Dakota,,,,,,,,,,
Bowdle School District,Bowdle,Edmunds,South Dakota,,,,,,,,,,
Brandon Valley School District,Brandon,Minnehaha,South Dakota,,,,,,,,,,
Bridgewater-Emery School District,Bridgewater,McCook,South Dakota,,,,,,,,,,
Britton-Hecla School District,Britton,Marshall,South Dakota,,,,,,,,,,
Brookings School District,Brookings,Brookings,South Dakota,,,,,,,,,,
Burke School District,Burke,Gregory,South Dakota,,,,,,,,,,
Canistota School District,Canistota,McCook,South Dakota,,,,,,,,,,
Canton School District,Canton,Lincoln,South Dakota,,,,,,,,,,
Castlewood School District,Castlewood,Hamlin,South Dakota,,,,,,,,,,
Centerville School District,Centerville,Turner,South Dakota,,,,,,,,,,
Chamberlain School District,Chamberlain,Brule,South Dakota,,,,,,,,,,
Chester Area School District,Chester,Lake,South Dakota,,,,,,,,,,
Clark School District,Clark,Clark,South Dakota,,,,,,,,,,
Colman-Egan School District,Colman,Moody,South Dakota,,,,,,,,,,
Colome Consolidated School District,Colome,Tripp,South Dakota,,,,,,,,,,
Corsica-Stickney 21-3 School District,Corsica,Douglas,South Dakota,,,,,,,,,,
Custer School District,Custer,Custer,South Dakota,,,,,,,,,,
Dakota Valley School District,North Sioux City,Union,South Dakota,,,,,,,,,,
Dell Rapids School District,Dell Rapids,Minnehaha,South Dakota,,,,,,,,,,
De Smet School District,De Smet,Kingsbury,South Dakota,,,,,,,,,,
Deubrook Area School District,White,Brookings,South Dakota,,,,,,,,,,
Deuel School District,Clear Lake,Deuel,South Dakota,,,,,,,,,,
Doland School District,Doland,Spink,South Dakota,,,,,,,,,,
Douglas School District,Box Elder,Pennington,South Dakota,,,,,,,,,,
Dupree School District,Dupree,Ziebach,South Dakota,,,,,,,,,,
Eagle Butte School District,Eagle Butte,Dewey,South Dakota,,,,,,,,,,
Edgemont School District,Edgemont,Fall River,South Dakota,,,,,,,,,,
Edmunds Central School District,Roscoe,Edmunds,South Dakota,,,,,,,,,,
Elk Mountain School District,Elk Mountain,Custer,South Dakota,,,,,,,,,,
Elk Point-Jefferson School District,Elk Point,Union,South Dakota,,,,,,,,,,
Elkton School District,Elkton,Brookings,South Dakota,,,,,,,,,,
Estelline School District,Estelline,Hamlin,South Dakota,,,,,,,,,,
Ethan School District,Ethan,Davison,South Dakota,,,,,,,,,,
Eureka School District,Eureka,McPherson,South Dakota,,,,,,,,,,
Faith School District,Faith,Meade,South Dakota,,,,,,,,,,
Faulkton Area School District,Faulkton,Faulk,South Dakota,,,,,,,,,,
Flandreau School District,Flandreau,Moody,South Dakota,,,,,,,,,,
Florence School District,Florence,Codington,South Dakota,,,,,,,,,,
Frederick Area School District,Frederick,Brown,South Dakota,,,,,,,,,,
Freeman School District,Freeman,Hutchinson,South Dakota,,,,,,,,,,
Garretson School District,Garretson,Minnehaha,South Dakota,,,,,,,,,,
Gayville-Volin School District,Gayville,Yankton,South Dakota,,,,,,,,,,
Gettysburg School District,Gettysburg,Potter,South Dakota,,,,,,,,,,
Gregory School District,Gregory,Gregory,South Dakota,,,,,,,,,,
Groton Area School District,Groton,Brown,South Dakota,,,,,,,,,,
Haakon School District,Philip,Haakon,South Dakota,,,,,,,,,,
Hamlin School District,Hazel,Hamlin,South Dakota,,,,,,,,,,
Hanson School District,Alexandria,Hanson,South Dakota,,,,,,,,,,
Harding County School District,Buffalo,Harding,South Dakota,,,,,,,,,,
Harrisburg School District,Harrisburg,Lincoln,South Dakota,,,,,,,,,,
Henry School District,Henry,Codington,South Dakota,,,,,,,,,,
Herreid School District,Herreid,Campbell,South Dakota,,,,,,,,,,
Highmore-Harrold School District,Highmore,Hyde,South Dakota,,,,,,,,,,
Hill City School District,Hill City,Pennington,South Dakota,,,,,,,,,,
Hitchcock-Tulare School District,Tulare,Spink,South Dakota,,,,,,,,,,
Hot Springs School District,Hot Springs,Fall River,South Dakota,,,,,,,,,,
Hoven School District,Hoven,Potter,South Dakota,,,,,,,,,,
Howard School District,Howard,Miner,South Dakota,,,,,,,,,,
Huron School District,Huron,Beadle,South Dakota,,,,,,,,,,
Ipswich Public School District,Ipswich,Edmunds,South Dakota,,,,,,,,,,
Irene-Wakonda School District,Irene,Turner,South Dakota,,,,,,,,,,
Iroquois School District,Iroquois,Beadle,South Dakota,,,,,,,,,,
Jones County School District,Murdo,Jones,South Dakota,,,,,,,,,,
Kadoka Area School District,Kadoka,Jackson,South Dakota,,,,,,,,,,
Kimball School District,Kimball,Brule,South Dakota,,,,,,,,,,
Lake Preston School District,Lake Preston,Kingsbury,South Dakota,,,,,,,,,,
Langford School District,Langford,Marshall,South Dakota,,,,,,,,,,
Lead-Deadwood School District,Lead,Lawrence,South Dakota,,,,,,,,,,
Lemmon School District,Lemmon,Perkins,South Dakota,,,,,,,,,,
Lennox School District,Lennox,Lincoln,South Dakota,,,,,,,,,,
Leola School District,Leola,McPherson,South Dakota,,,,,,,,,,
Lyman School District,Presho,Lyman,South Dakota,,,,,,,,,,
Madison Central School District,Madison,Lake,South Dakota,,,,,,,,,,
Marion School District,Marion,Turner,South Dakota,,,,,,,,,,
McCook Central School District,Salem,McCook,South Dakota,,,,,,,,,,
McIntosh School District,McIntosh,Corson,South Dakota,,,,,,,,,,
McLaughlin School District,McLaughlin,Corson,South Dakota,,,,,,,,,,
Meade School District,Sturgis,Meade,South Dakota,,,,,,,,,,
Menno School District,Menno,Hutchinson,South Dakota,,,,,,,,,,
Milbank School District,Milbank,Grant,South Dakota,,,,,,,,,,
Miller Area School District,Miller,Hand,South Dakota,,,,,,,,,,
Mitchell School District,Mitchell,Davison,South Dakota,,,,,,,,,,
Mobridge-Pollock School District,Mobridge,Walworth,South Dakota,,,,,,,,,,
Montrose School District,Montrose,McCook,South Dakota,,,,,,,,,,
Mount Vernon School District,Mount Vernon,Davison,South Dakota,,,,,,,,,,
Newell School District,Newell,Butte,South Dakota,,,,,,,,,,
New Underwood School District,New Underwood,Pennington,South Dakota,,,,,,,,,,
Northwestern Area School District,Mellette,Spink,South Dakota,,,,,,,,,,
Oelrichs School District,Oelrichs,Fall River,South Dakota,,,,,,,,,,
Oglala Lakota County School District,Pine Ridge,Oglala Lakota,South Dakota,,,,,,,,,,
Oldham-Ramona-Rutland School District 39-6,Ramona,Lake,South Dakota,,,,,,,,,,
Parker School District,Parker,Turner,South Dakota,,,,,,,,,,
Parkston School District,Parkston,Hutchinson,South Dakota,,,,,,,,,,
Pierre School District,Pierre,Hughes,South Dakota,,,,,,,,,,
Plankinton School District,Plankinton,Aurora,South Dakota,,,,,,,,,,
Platte-Geddes School District,Platte,Charles Mix,South Dakota,,,,,,,,,,
Rapid City Area School District,Rapid City,Pennington,South Dakota,,,,,,,,,,
Redfield School District,Redfield,Spink,South Dakota,,,,,,,,,,
Rosholt School District,Rosholt,Roberts,South Dakota,,,,,,,,,,
Sanborn Central School District,Forestburg,Sanborn,South Dakota,,,,,,,,,,
Scotland School District,Scotland,Bon Homme,South Dakota,,,,,,,,,,
Selby Area School District,Selby,Walworth,South Dakota,,,,,,,,,,
Sioux Falls School District,Sioux Falls,Minnehaha,South Dakota,,,,,,,,,,
Sioux Valley School District,Volga,Brookings,South Dakota,,,,,,,,,,
Sisseton School District,Sisseton,Roberts,South Dakota,,,,,,,,,,
Smee School District,Bullhead,Corson,South Dakota,,,,,,,,,,
South Central School District,Bonesteel,Gregory,South Dakota,,,,,,,,,,
Spearfish School District,Spearfish,Lawrence,South Dakota,,,,,,,,,,
Stanley County School District,Fort Pierre,Stanley,South Dakota,,,,,,,,,,
Summit School District,Summit,Roberts,South Dakota,,,,,,,,,,
Tea Area School District,Tea,Lincoln,South Dakota,,,,,,,,,,
Timber Lake School District,Timber Lake,Dewey,South Dakota,,,,,,,,,,
Todd County School District,Mission,Todd,South Dakota,,,,,,,,,,
Tripp-Delmont School District,Tripp,Hutchinson,South Dakota,,,,,,,,,,
Tri-Valley School District,Colton,Minnehaha,South Dakota,,,,,,,,,,
Vermillion School District,Vermillion,Clay,South Dakota,,,,,,,,,,
Viborg-Hurley School District,Viborg,Turner,South Dakota,,,,,,,,,,
Wagner Community School District,Wagner,Charles Mix,South Dakota,,,,,,,,,,
Wall School District,Wall,Pennington,South Dakota,,,,,,,,,,
Warner School District,Warner,Brown,South Dakota,,,,,,,,,,
Watertown School District,Watertown,Codington,South Dakota,,,,,,,,,,
Waubay School District,Waubay,Day,South Dakota,,,,,,,,,,
Waverly School District,Waverly,Codington,South Dakota,,,,,,,,,,
Webster School District,Webster,Day,South Dakota,,,,,,,,,,
Wessington Springs School District,Wessington Springs,Jerauld,South Dakota,,,,,,,,,,
West Central School District,Hartford,Minnehaha,South Dakota,,,,,,,,,,
White Lake School District,White Lake,Aurora,South Dakota,,,,,,,,,,
White River School District,White River,Mellette,South Dakota,,,,,,,,,,
Willow Lake School District,Willow Lake,Clark,South Dakota,,,,,,,,,,
Wilmot School District,Wilmot,Roberts,South Dakota,,,,,,,,,,
Winner School District,Winner,Tripp,South Dakota,,,,,,,,,,
Wolsey-Wessington School District,Wolsey,Beadle,South Dakota,,,,,,,,,,
Woonsocket School District,Woonsocket,Sanborn,South Dakota,,,,,,,,,,
Yankton School District,Yankton,Yankton,South Dakota,,,,,,,,,,
